Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Duplicate),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Investigation reason),Custom field (Issue color),Custom field (Operational categorization),Custom field (Organizations),Custom field (Pending reason),Custom field (Product categorization),Custom field (Production Outage Severity),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Request participants),Custom field (Request participants),Custom field (Request participants),Custom field (Root cause),Satisfaction rating,Custom field (Severity),Custom field (Source),Custom field (Start date),Custom field (Story point estimate),Custom field (Urgency),Custom field (Workaround),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Update Herzing-Akron on HackCollege,HE-984,11979,Service Request,Escalated,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,,jvalencia1,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c51df8c7f1b2543d2860538,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c51df8c7f1b2543d2860538,18/Feb/19 11:49 AM,25/Feb/19 4:43 PM,01/Mar/19 12:19 PM,,,0,Compliance,Content,Frontend,HackCollege.com,HerzingUniversity,ServiceRequest,,,,,,,,,,"Please make the following updates to the page https://www.hackcollege.com/school-finder/schools/ohio/akron-institute-of-herzing-university/

#1: Update school name to Herzing University

#2: Update the mission statement to:
""It is the mission of Herzing University to provide high-quality undergraduate and graduate degrees and diploma programs to prepare a diverse and geographically distributed student population to meet the needs of employers in technology, business, healthcare (including social work), design, and public safety. Career-oriented degree programs include a complementary and integrated general education curriculum established to stimulate students’ intellectual growth, to contribute to their personal development, and to enhance their potential for career advancement.""

#3: Update school type to 4-year, primarily associate's, private not-for-profit

#4: Update Special Learning Opportunities to:
Distance education, undergraduate programs offered, weekend/evening college

#5: Update student services to:
Remedial services, academic/career counseling service, employment services for students, placement services for completers

#6: update credits accepted to:
Dual credit, credit for life experiences, advanced placement (AP) credits

#7: update retention rate to 46%

#8: update population to 494 (all undergraduate)

Let me know if there are any questions! 
Thanks,
Emma

┆{color:#707070}Attachments: [Logo_Blue.jpg|https://app.asana.com/app/asana/-/get_asset?asset_id=1110263712720472]{color}
",,5c06aadbb5881d1b2e50d1a6,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i00bmf:,he/0945967d-c632-4593-aba1-64e6117d6e5e,English,,,,,,,,,,,,,2019-02-18 17:49:35.878,18/Feb/19 11:49 AM;dacosta;This issue requires your attention. [~mcomardo],"18/Feb/19 12:31 PM;jvalencia1;Good afternoon [~qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c51df8c7f1b2543d2860538].
This is a task for the dev team. I will escalate this ticket and i will add you as a follower of this task on ASANA.

Thank you for using JIRA.","18/Feb/19 12:58 PM;syncbot;➤ {color:#999999}_jvalencia@highereducation.com commented:_{color}

Hi Eric Rasch ( https://app.asana.com/0/221958638007097/list ).

It looks like Herzing needs to update again the information in https://www.hackcollege.com/school-finder/schools/ohio/akron-institute-of-herzing-university/. As this info is in a database, i have to escalate this task.
I'll be on attention if you need more info.

Thanks
Juan","19/Feb/19 10:07 AM;syncbot;➤ {color:#999999}_Jen G commented:_{color}

Emma Bergeson ( https://app.asana.com/0/1104650288717906/list ), this is done and live.

Thanks!
Jen","19/Feb/19 11:17 AM;syncbot;➤ {color:#999999}_Emma Bergeson commented:_{color}

Hello again, 

Could you also please update the picture I just attached? Sorry for another last-minute addition! They didn't send the picture with the first email.

Thank you!
Emma","25/Feb/19 4:43 PM;syncbot;➤ {color:#999999}_Jen G commented:_{color}

OK, once again, this is done. 😆

Thanks!
Jen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestchoiceschools.com - Button Design Issue,HE-983,11978,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,jvalencia1,syncbot,syncbot,18/Feb/19 10:32 AM,18/Feb/19 10:42 AM,19/Mar/19 1:06 PM,18/Feb/19 10:42 AM,,0,Affiliate,BestChoiceSchools.com,CSS,Frontend,Mobile,Monetization,Offshore,ServiceRequest,style,,,,,,,"*Mobile :  S6&Oneplus - Chrome* Inappropriate Menu button design
+https://www.bestchoiceschools.com/+
*Picture* +https://docs.google.com/document/d/1R58Pd_roV9ZYEjyF_1vzpmKz1r2vozHb7JYe0qLCK50/edit+",,5c06aadbb5881d1b2e50d1a6,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00bm7:,,English,,,,,,,,,,,,,2019-02-18 16:32:40.055,18/Feb/19 10:32 AM;dacosta;This issue requires your attention. [~mcomardo],"18/Feb/19 10:42 AM;jvalencia1;The style issue is up to the affiliate, fixing it depends on him.
I will forward this task. Than you for reporting.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestchoiceschools.com - Sidebar alignment Issue,HE-982,11977,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,jvalencia1,syncbot,syncbot,18/Feb/19 10:32 AM,18/Feb/19 10:42 AM,19/Mar/19 1:06 PM,18/Feb/19 10:42 AM,,0,Affiliate,BestChoiceSchools.com,ChromeBrowser,CSS,EdgeBrowser,Frontend,Incident,Offshore,PC,style,,,,,,"*PC: Chrome/ Edge* Side bar Text alignment Issue
+https://www.bestchoiceschools.com/+
*Picture* +https://docs.google.com/document/d/1kSDvAT907naKPzHfeXkGhMOEzoMdLZiHv_kxyjceieg/edit+",,5c06aadbb5881d1b2e50d1a6,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00blz:,,English,,,,,,,,,,,,,2019-02-18 16:32:30.772,18/Feb/19 10:32 AM;dacosta;This issue requires your attention. [~mcomardo],"18/Feb/19 10:42 AM;jvalencia1;The style issue is up to the affiliate, fixing it depends on him.
Forwarding task. Than you for reporting.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topcounselingschools.org - widget design problem,HE-981,11976,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,jvalencia1,syncbot,syncbot,18/Feb/19 8:25 AM,18/Feb/19 8:37 AM,19/Mar/19 1:06 PM,18/Feb/19 8:37 AM,,0,Affiliate,ChromeBrowser,Frontend,Mobile,Offshore,QDG,SafariBrowser,ServiceRequest,TopCounselingSchools.org,Widgets,,,,,,"*Mobile: Samsung5| Oneplus 2- Chrome / IOS6 Safari* Widget design problem on a button; label doesn't fit in the button/ small dot on the upper part of the widget
+http://www.topcounselingschools.org+
*Picture* https://docs.google.com/document/d/1UI9xO2rgbtytT6CBINnsw2BddsqjudTtAcsi8Bh0c2I/edit",,5c06aadbb5881d1b2e50d1a6,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00blr:,,English,,,,,,,,,,,,,2019-02-18 14:25:23.385,18/Feb/19 8:25 AM;dacosta;This issue requires your attention. [~mcomardo],"18/Feb/19 8:37 AM;jvalencia1;There's a duplicate QDF on this site when we narrow the screen in mobile.
As it is an affiliate site, i will forward this task.
Thanks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topcounselingschools.org - background design misalignment,HE-980,11975,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,jvalencia1,syncbot,syncbot,18/Feb/19 8:20 AM,18/Feb/19 8:28 AM,19/Mar/19 1:06 PM,18/Feb/19 8:28 AM,,0,Affiliate,ChromeBrowser,CSS,Frontend,Incident,Mobile,Offshore,SafariBrowser,style,TopCounselingSchools.org,,,,,,"*Mobile: Oneplus2/SamsungS5 - Chrome, IOS6|IOS7 - Safari* Background picture misalignment
http://www.topcounselingschools.org/
*Picture* https://docs.google.com/document/d/1u6tQs5WcypjI3ZyVauTpGd_w3tQTQvRmbhaTvACwUNo/edit",,5c06aadbb5881d1b2e50d1a6,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00blj:,,English,,,,,,,,,,,,,2019-02-18 14:20:18.957,18/Feb/19 8:20 AM;dacosta;This issue requires your attention. [~mcomardo],"18/Feb/19 8:28 AM;jvalencia1;The style issue is up to the affiliate, fixing it depends on him.
Forwarding task. Than you for reporting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form Doesn't have programs (Colorado Christian University),HE-979,11974,Incident,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,Done,jvalencia1,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c58bca14f37f144ac72f010,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c58bca14f37f144ac72f010,17/Feb/19 12:44 PM,22/Feb/19 8:23 AM,01/Mar/19 12:29 PM,19/Feb/19 8:23 AM,,0,ColoradoChristianUniversity,FormApp,Incident,Monetization,SEL,,,,,,,,,,,"PC: Chrome/ Edge & Mobile: Iphone7 - Safari
(SEL) Form doesn't have programs

https://forms.cmn.com/forms/colorado-christian-university",,5c06aadbb5881d1b2e50d1a6,syncbot,,,,,,,,,,,,17/Feb/19 12:43 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c58bca14f37f144ac72f010;vcx.gif;https://highereducation.atlassian.net/secure/attachment/10306/vcx.gif,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,More info required,,,0|i00blb:,he/b2fce538-aefb-4186-9124-0cd95e730bf0,English,,,,,,,Product Malfunction,,,,,,2019-02-17 18:44:59.834,"17/Feb/19 12:44 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c58bca14f37f144ac72f010;

!vcx.gif|thumbnail!",17/Feb/19 12:44 PM;dacosta;This issue requires your attention. [~mcomardo],"18/Feb/19 7:15 AM;jvalencia1;Hi [~qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c58bca14f37f144ac72f010]. Hope you have a nice starting week.
Could you tell me please what are the site (the full URL) you visited before getting in to the form?
Thanks.","18/Feb/19 7:41 AM;jvalencia1;[~qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c58bca14f37f144ac72f010] It would be helpfull also if you could tell me if you were looking for an associate degree or a bachelor one, the program, etc. This extra info would help me to identify the issue faster.","18/Feb/19 8:20 AM;syncbot;➤ {color:#999999}_jvalencia@highereducation.com commented:_{color}

Offshore Alerts ( https://app.asana.com/0/490940853584621/list )","18/Feb/19 5:22 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c58bca14f37f144ac72f010;Hi! Good Day! 
            I only manually checking the SEL, using the given link . To see if its loadable and fully functioning.

               Have a great day ahead!","19/Feb/19 7:54 AM;jvalencia1;Hi Arnold
The school is paused since it reached its limits, so it's an expected behaviour.

Thanks for reporting and good day!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nursing Headers not displaying properly - page has to be scrolled to the right to view the text under the main navigation - Affects ""Resources"" + ""Careers""",HE-978,11972,Incident,Escalated,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c36455f9760f569b627c79c,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c36455f9760f569b627c79c,15/Feb/19 2:39 PM,18/Feb/19 10:16 AM,28/Feb/19 3:48 PM,,,0,CSS,Frontend,Navigation,Nursing.org,ServiceRequest,style,,,,,,,,,,,,5c06aadbb5881d1b2e50d1a6,dacosta,,,,,,,,,,,,15/Feb/19 2:38 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c36455f9760f569b627c79c;image.png;https://highereducation.atlassian.net/secure/attachment/10305/image.png,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,More info required,,,0|i00bkv:,he/edc6a8e0-6056-4ee2-8661-b8cd4aa55642,English,,,,,,,,,,,,,2019-02-15 20:39:30.827,"15/Feb/19 2:39 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c36455f9760f569b627c79c;

!image.png|thumbnail!",15/Feb/19 2:39 PM;dacosta;This issue requires your attention. [~mcomardo],"15/Feb/19 3:35 PM;jvalencia1;Hi [~qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c36455f9760f569b627c79c].
COuld you please give us the URL of the site. I'm not very sure what's the site.

Thanks","15/Feb/19 4:02 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c36455f9760f569b627c79c;Juan, apologies,

It's Nursing.org","17/Feb/19 3:42 PM;dacosta;Hi there, we haven't heard from you in a while. If you would like to keep this request open or if you have additional information, just reply.","18/Feb/19 10:16 AM;jvalencia1;I will escalate this task to the dev team.
Thank you for reporting [~qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c36455f9760f569b627c79c]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Herzing on HackCollege,HE-977,11971,Service Request,Escalated,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,,jvalencia1,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c51df8c7f1b2543d2860538,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c51df8c7f1b2543d2860538,15/Feb/19 11:08 AM,19/Feb/19 10:12 AM,01/Mar/19 12:19 PM,,,0,Compliance,Frontend,HackCollege.com,HerzingUniversity,ServiceRequest,,,,,,,,,,,"Hello,

Herzing forgot to request that their status also be updated to non-profit on https://www.hackcollege.com/school-finder/schools/georgia/herzing-university-4/

I apologize on their behalf for not including this with the last list of requests!",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i00bkn:,he/0945967d-c632-4593-aba1-64e6117d6e5e,English,,,,,,,,,,,,,2019-02-15 17:09:02.402,15/Feb/19 11:09 AM;dacosta;This issue requires your attention. [~mcomardo],15/Feb/19 11:39 AM;dacosta;This issue requires your attention. [~dacosta],15/Feb/19 11:39 AM;dacosta;This issue requires your attention. [~jvalencia],"15/Feb/19 1:14 PM;syncbot;➤ {color:#999999}_jvalencia@highereducation.com commented:_{color}

Herzing forgot to tell us to update the status to non-profit.
As this info is in a db, i have to escalate it.

Thanks
Juan","19/Feb/19 10:12 AM;syncbot;➤ {color:#999999}_Jen G commented:_{color}

Emma Bergeson ( https://app.asana.com/0/1104650288717906/list ), I am guessing this task originated with you. This is done and live.

Thanks!
Jen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
howdoibecomea.net - Typographical Error,HE-976,11970,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,jvalencia1,syncbot,syncbot,15/Feb/19 10:07 AM,15/Feb/19 10:26 AM,19/Mar/19 1:06 PM,15/Feb/19 10:26 AM,,0,Affiliate,EdgeBrowser,Frontend,HowDoIBecomea.net,Offshore,PC,ServiceRequest,Typo,,,,,,,,"*PC: Edge* Typographical Error: Repeated Word _“you”_
+http://www.howdoibecomea.net/+
*Picture* https://docs.google.com/document/d/1J7srTdZU1lKQZRkw0v9b2kCavH5TKR41i0kaOAIg4yU/edit",,5c06aadbb5881d1b2e50d1a6,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00bkf:,,English,,,,,,,,,,,,,2019-02-15 16:07:17.479,15/Feb/19 10:07 AM;dacosta;This issue requires your attention. [~mcomardo],"15/Feb/19 10:26 AM;jvalencia1;This site belongs to an affiliate. Fixing this typo requires the affiliate to reviewed it.
I will forward this task. Thank you for reporting.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thebestcolleges.org - No Directory Links,HE-975,11969,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,Done,jvalencia1,syncbot,syncbot,15/Feb/19 9:21 AM,15/Feb/19 10:12 AM,19/Mar/19 1:06 PM,15/Feb/19 9:55 AM,,0,DirectoryLinks,DL,EdgeBrowser,Frontend,Monetization,PC,ServiceRequest,TheBestColleges.org,,,,,,,,"*PC Edge* No Directory Links


* +https://www.thebestcolleges.org/rankings/the-top-10-colleges-for-aviation-degrees/+
* +https://www.thebestcolleges.org/+
* https://thebestschools.org/features/best-medical-pharmacy-programs-in-world-today/",,5c06aadbb5881d1b2e50d1a6,dacosta,syncbot,,,,,,,,,,,15/Feb/19 9:50 AM;jvalencia1;image-2019-02-15-10-50-00-498.png;https://highereducation.atlassian.net/secure/attachment/10304/image-2019-02-15-10-50-00-498.png,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00bk7:,,English,,,,,,,,,,,,,2019-02-15 15:21:32.536,15/Feb/19 9:21 AM;dacosta;This issue requires your attention. [~mcomardo],"15/Feb/19 9:49 AM;jvalencia1;Hi there Offshore Team.
I noticed you added a couple of sites here (thebestcolleges.org and thebestschools.org), we'd happy if you add links for the site you're referring in the ticket's title for the next times :).

On the other han i see widget here (https://www.thebestcolleges.org/rankings/the-top-10-colleges-for-aviation-degrees/) but no here (https://www.thebestcolleges.org/). I will forward this to the monetization team. Thank you for reporting.",15/Feb/19 9:50 AM;jvalencia1; !image-2019-02-15-10-50-00-498.png|thumbnail! ,"15/Feb/19 10:12 AM;syncbot;➤ {color:#999999}_jvalencia@highereducation.com commented:_{color}

Hi Doug Milnes ( https://app.asana.com/0/722686611860614/list ). I'm forwarding this ticket to you because i checked the homepage of thebestcolleges.org/ and noticed there's not adblock widget. This is reported to consider placement.

Thank you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
health-science-degree.com - No widget,HE-974,11968,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,jvalencia1,syncbot,syncbot,15/Feb/19 8:40 AM,01/Mar/19 7:55 AM,19/Mar/19 1:06 PM,15/Feb/19 9:07 AM,,0,ChromeBrowser,Health-Science-Degree.com,ManualPlacement,Mobile,Monetization,Offshore,PC,SafariBrowser,ServiceRequest,Widgets,,,,,,"*PC: Chrome & Mobile: IOS7 - Safari/Chrome | Oneplus - Chrome* No widget
http://health-science-degree.com/",,5c06aadbb5881d1b2e50d1a6,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00bjz:,,English,,,,,,,,,,,,,2019-02-15 14:40:11.315,15/Feb/19 8:40 AM;dacosta;This issue requires your attention. [~mcomardo],"15/Feb/19 9:07 AM;jvalencia1;This site belongs to an affiliate. There's manual directory links on this site.
I will forward this task. Thank you for reporting
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestchoiceschools.com -  Multiple Missing Image,HE-973,11967,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,jvalencia1,syncbot,syncbot,15/Feb/19 8:34 AM,15/Feb/19 8:51 AM,19/Mar/19 1:06 PM,15/Feb/19 8:51 AM,,0,Affiliate,BestChoiceSchools.com,ChromeBrowser,EdgeBrowser,Frontend,Image,Offshore,PC,ServiceRequest,,,,,,,"*PC: Chrome/ Edge* Multiple Missing Images
+https://www.bestchoiceschools.com/+
+https://www.bestchoiceschools.com/15-great-countries-you-can-visit-on-a-college-budget/+
+https://www.bestchoiceschools.com/30-best-college-towns-for-pizza-and-burgers/+
+https://www.bestchoiceschools.com/50-most-beautiful-urban-college-campuses/+
+https://www.bestchoiceschools.com/50-great-affordable-eco-friendly-colleges/+
+https://www.bestchoiceschools.com/50-most-impressive-law-school-buildings-in-the-world/+
+https://www.bestchoiceschools.com/most-beautiful-universities-canada/+
+https://www.bestchoiceschools.com/20-great-small-college-towns-with-great-quality-of-life/+
*Picture* +https://docs.google.com/document/d/15MEVix9zZGVdUuAOKNDbosjs5R_QPAVOtkGg087PeaE/edit+",,5c06aadbb5881d1b2e50d1a6,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00bjr:,,English,,,,,,,,,,,,,2019-02-15 14:34:58.44,15/Feb/19 8:34 AM;dacosta;This issue requires your attention. [~mcomardo],"15/Feb/19 8:47 AM;jvalencia1;This site belongs to an affiliate. The images are still broken.
I will forward this task. Thank you for reporting
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onlinecertificateprograms.org - Typographical error on links,HE-972,11966,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,jvalencia1,syncbot,syncbot,15/Feb/19 7:54 AM,15/Feb/19 8:17 AM,19/Mar/19 1:06 PM,15/Feb/19 8:17 AM,,0,ChromeBrowser,EdgeBrowser,Frontend,links,Links,Mobile,Offshore,OnlineCertificatePrograms.org,PC,SafariBrowser,ServiceRequest,Typo,,,,"*PC: Edge & Mobile IOS6 Safari / IOS7 Chrome*
Typographical error on links
+http://www.onlinecertificateprograms.org/+
*Picture* +https://docs.google.com/document/d/162Q2EV_cLBK72N04vqI6MUeWO1LrZ2ngyknzYOLwWWo/edit+",,5c06aadbb5881d1b2e50d1a6,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00bjj:,,English,,,,,,,,,,,,,2019-02-15 13:54:39.373,15/Feb/19 7:54 AM;dacosta;This issue requires your attention. [~mcomardo],"15/Feb/19 8:17 AM;jvalencia1;Typos fixed, changes are live now!
Thank you for reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nursing-school-rankings.com - No directory links,HE-971,11965,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,jvalencia1,syncbot,syncbot,14/Feb/19 3:26 PM,01/Mar/19 7:55 AM,19/Mar/19 1:06 PM,14/Feb/19 3:51 PM,,0,Affiliate,ChromeBrowser,DirectoryLinks,DL,Mobile,Monetization,Nursing-School-Rankings.com,Offshore,PC,ServiceRequest,,,,,,"*PC: Chrome & Mobile: Samsung |IOS7 - Chrome* No directory links
http://www.nursing-school-rankings.com/",,5c06aadbb5881d1b2e50d1a6,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00bjb:,,English,,,,,,,,,,,,,2019-02-14 21:26:53.213,14/Feb/19 3:26 PM;dacosta;This issue requires your attention. [~mcomardo],"14/Feb/19 3:51 PM;jvalencia1;This site belongs to an affiliate. There's not directory links on its page.
I will forward this task. Thank you for reporting
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
early-childhood-education-degrees.com - Wrong School shows in Directory links,HE-970,11964,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,jvalencia1,syncbot,syncbot,14/Feb/19 3:21 PM,14/Feb/19 3:46 PM,19/Mar/19 1:06 PM,14/Feb/19 3:45 PM,,0,Affiliate,ChromeBrowser,DirectoryLinks,DL,Early-Childhood-Education-Degrees.com,EdgeBrowser,FP,Frontend,Mobile,Monetization,Offshore,PC,SafariBrowser,ServiceRequest,Widgets,"*PC: Chrome| Edge & Mobile: IOS7 - Safari* Wrong School shows in Directory links
+https://www.early-childhood-education-degrees.com/+
+https://www.early-childhood-education-degrees.com/top-online-early-childhood-education-degree-programs/+
*Picture* https://docs.google.com/document/d/1WipiCArFdOdT59i6hze-zWoYRCDVskWxHhhvk9KXPAs/edit",,5c06aadbb5881d1b2e50d1a6,dacosta,syncbot,,,,,,,,,,,14/Feb/19 3:43 PM;jvalencia1;screenshot-1.png;https://highereducation.atlassian.net/secure/attachment/10303/screenshot-1.png,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00bj3:,,English,,,,,,,,,,,,,2019-02-14 21:21:46.728,14/Feb/19 3:21 PM;dacosta;This issue requires your attention. [~mcomardo],"14/Feb/19 3:44 PM;jvalencia1;It look like those manual placements were replaced by the new ones.
Thank you for reporting.

 !screenshot-1.png|thumbnail! ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
